event_time,gen,vendor,role,device_name,syslog,card,unit_name,alarm_group,keyword,service_effect,after_action,action_result
2024-01-11 09:28:29,LTE,Nokia,IVR,Device-02,"Device-02: Jan 11 09:28:29.000 optics_driver: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Power up after unexpected card reset' for card 7/4",I/O,SC,SW,Temperature alarm,Ring Open,"2024-01-11 10:28:29 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-11 11:28:29 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-11 23:28:29 - 조치 완료",자동복구
2024-01-11 22:36:18,5G,Cisco,ROTN,Device-18,NodeDown,공통부,FAN,HW,Link Down,Ring Open,"2024-01-12 01:36:18 - 조치: 인증 실패로 보안 설정 점검
2024-01-12 02:36:18 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-12 16:36:18 - 조치 완료",유니트교체복구
2024-01-12 11:44:07,5G,Huawei,L3SW,Device-12,153.180.151.166 9540: LC/1/2/CPU1: Jan 12 11:44:07.000 card_mgr: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-7 :DECLARE :CPU3: Optics7/1/6,I/O,FAN,SW,Module failure,Ring Open,"2024-01-12 19:44:07 - 조치: Link down 발생, 교체 작업 수행
2024-01-13 01:44:07 - 조치: CRC 발생으로 모니터링 강화
2024-01-13 00:44:07 - 조치 완료",유니트교체복구
2024-01-13 00:51:56,LTE,Huawei,IBR,Device-22,Device-22 %%48017 Jan 13 00:51:56.000 KST MINOR: PORT #9863 Base Port 9/6 SFF DDM (txOutputPower-low-warning) raised,I/O,IOM,SW,Power supply fault,있음,"2024-01-13 08:51:56 - 조치: CRC 발생으로 모니터링 강화
2024-01-13 11:51:56 - 조치: 온도 경고로 팬 모듈 교체
2024-01-13 17:51:56 - 조치 완료",원격조치복구
2024-01-13 13:59:45,LTE,Cisco,IBR,Device-08,136.221.212.6 4527: LC/1/2/CPU3: Jan 13 13:59:45.000 emon_proxy: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-3 :DECLARE :CPU0: Optics2/3/3,공통부,LC,HW,Module failure,없음,"2024-01-13 22:59:45 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-14 08:59:45 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-14 19:59:45 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-14 06:59:45 - 조치 완료",양호
2024-01-14 03:07:34,5G,Ciena,IBRR,Device-09,"Device-09: Jan 14 03:07:34.000 optics_driver: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Power up after unexpected card reset' for card 4/0",제어부,SC,SW,Module failure,Ring Open,"2024-01-14 04:07:34 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-14 06:07:34 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-14 14:07:34 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-14 05:07:34 - 조치 완료",자동복구
2024-01-14 16:15:23,LTE,Ciena,Clock,Device-25,Device-25 3/2/2 CRC Error,제어부,LC,HW,Packet loss,Ring Open,"2024-01-14 23:15:23 - 조치: 온도 경고로 팬 모듈 교체
2024-01-15 00:15:23 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-15 07:15:23 - 조치 완료",양호
2024-01-15 05:23:12,LTE,Cisco,IBRR,Device-05,Device-05: Jan 15 05:23:12.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 0/3. Reason: EOBC heartbeat failure,제어부,SFP,SW,Authentication failure,없음,"2024-01-15 09:23:12 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-15 11:23:12 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-15 20:23:12 - 조치 완료",양호
2024-01-15 18:31:01,LTE,Huawei,Clock,Device-26,Device-26: Jan 15 18:31:01.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 0/0. Reason: EPC heartbeat failure,Power,SFP,SW,CRC,없음,"2024-01-16 00:31:01 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-16 04:31:01 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-16 09:31:01 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-16 11:31:01 - 조치 완료",양호
2024-01-16 07:38:50,LTE,Cisco,IBR,Device-04,Network element does not respond to SNMP requests,Power,SC,SW,Packet loss,Ring Open,"2024-01-16 11:38:50 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-16 22:38:50 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-17 00:38:50 - 조치 완료",유니트교체복구
2024-01-16 20:46:39,5G,Ciena,IBC,Device-01,Device-01: Jan 16 20:46:39.000 card_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 0/7 reporting a machine check error condition. Card will be auto reset to recover from this failure.,제어부,SC,SW,Link Down,없음,"2024-01-17 06:46:39 - 조치: Link down 발생, 교체 작업 수행
2024-01-17 11:46:39 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-17 12:46:39 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-17 12:46:39 - 조치 완료",유니트교체복구
2024-01-17 09:54:28,5G,Ciena,IVRR,Device-24,Device-24 1/4/8 CRC Error,광모듈,CSM,HW,System reboot,Ring Open,"2024-01-17 16:54:28 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-17 20:54:28 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-18 05:54:28 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-18 02:54:28 - 조치 완료",원격조치복구
2024-01-17 23:02:17,LTE,Nokia,IBRR,Device-03,Device-03: Jan 17 23:02:17.000 emon_proxy: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 2/2 reporting a machine check error condition. Card will be auto reset to recover from this failure.,광모듈,CSM,SW,System reboot,Ring Open,"2024-01-18 05:02:17 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-18 14:02:17 - 조치: Link down 발생, 교체 작업 수행
2024-01-18 19:02:17 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-18 08:02:17 - 조치 완료",자동복구
2024-01-18 12:10:06,5G,Ciena,L3SW,Device-14,240.150.233.115 7994: LC/3/3/CPU3: Jan 18 12:10:06.000 card_mgr: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-4 :DECLARE :CPU1: Optics4/6/4,일체형,SC,SW,Power supply fault,Ring Open,"2024-01-18 21:10:06 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-19 06:10:06 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-19 07:10:06 - 조치 완료",원격조치복구
2024-01-19 01:17:54,5G,Cisco,IVRR,Device-01,Device-01: Jan 19 01:17:54.000 optics_driver: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 2/1. Reason: EOBC heartbeat failure,I/O,CSM,HW,Link Down,없음,"2024-01-19 09:17:54 - 조치: 온도 경고로 팬 모듈 교체
2024-01-19 14:17:54 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-19 21:17:54 - 조치 완료",유니트교체복구
2024-01-19 14:25:43,5G,Cisco,IBC,Device-13,"Device-13: Jan 19 14:25:43.000 emon_proxy: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 4/5",I/O,CSM,HW,Heartbeat failure,Ring Open,"2024-01-19 15:25:43 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-19 19:25:43 - 조치: 온도 경고로 팬 모듈 교체
2024-01-20 09:25:43 - 조치 완료",유니트교체복구
2024-01-20 03:33:32,LTE,Huawei,IVC,Device-25,159.150.119.221 8962: LC/1/1/CPU2: Jan 20 03:33:32.000 card_mgr: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-3 :DECLARE :CPU0: Optics5/3/7,광모듈,LC,SW,System reboot,Ring Open,"2024-01-20 10:33:32 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-20 20:33:32 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-20 14:33:32 - 조치 완료",자동복구
2024-01-20 16:41:21,5G,Nokia,IBR,Device-27,Device-27 %%85707 Jan 20 16:41:21.000 KST MINOR: PORT #5719 Base Port 8/9 SFF DDM (txOutputPower-low-warning) raised,광모듈,LC,HW,Module failure,있음,"2024-01-20 20:41:21 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-21 03:41:21 - 조치: 온도 경고로 팬 모듈 교체
2024-01-21 12:41:21 - 조치: 온도 경고로 팬 모듈 교체
2024-01-21 10:41:21 - 조치 완료",원격조치복구
2024-01-21 05:49:10,LTE,Nokia,IVRR,Device-10,"Device-10: Jan 21 05:49:10.000 card_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Power up after unexpected card reset' for card 5/1",광모듈,FAN,HW,Temperature alarm,없음,"2024-01-21 15:49:10 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-21 18:49:10 - 조치: CRC 발생으로 모니터링 강화
2024-01-22 00:49:10 - 조치 완료",양호
2024-01-21 18:56:59,LTE,Nokia,IVC,Device-15,210.1.232.137 4837: LC/2/2/CPU1: Jan 21 18:56:59.000 emon_proxy: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-1 :DECLARE :CPU3: Optics7/7/4,스위칭부,Power,SW,Link Down,Ring Open,"2024-01-21 23:56:59 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-22 05:56:59 - 조치: CRC 발생으로 모니터링 강화
2024-01-22 13:56:59 - 조치 완료",원격조치복구
2024-01-22 08:04:48,LTE,Ciena,IVC,Device-23,"Device-23: Jan 22 08:04:48.000 shelf_mgr: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Power up after unexpected card reset' for card 3/2",광모듈,LC,HW,Network congestion,없음,"2024-01-22 17:04:48 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-22 22:04:48 - 조치: CRC 발생으로 모니터링 강화
2024-01-22 23:04:48 - 조치 완료",양호
2024-01-22 21:12:37,LTE,Huawei,IBC,Device-02,NodeDown,제어부,FAN,SW,Packet loss,Ring Open,"2024-01-23 02:12:37 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-23 09:12:37 - 조치: 온도 경고로 팬 모듈 교체
2024-01-23 10:12:37 - 조치 완료",유니트교체복구
2024-01-23 10:20:26,5G,Ciena,ROTN,Device-30,239.91.142.145 4751: LC/1/2/CPU2: Jan 23 10:20:26.000 optics_driver: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-7 :DECLARE :CPU0: Optics4/3/6,I/O,SFP,SW,System reboot,있음,"2024-01-23 11:20:26 - 조치: 온도 경고로 팬 모듈 교체
2024-01-23 17:20:26 - 조치: Link down 발생, 교체 작업 수행
2024-01-23 17:20:26 - 조치 완료",양호
2024-01-23 23:28:15,5G,Huawei,IVC,Device-04,Device-04: Jan 23 23:28:15.000 card_mgr: %DRIVER- CARD_MGR-3-CPU_MCERR : CPU on 5/1 reporting a machine check error condition. Card will be auto reset to recover from this failure.,광모듈,SC,HW,System reboot,있음,"2024-01-24 03:28:15 - 조치: 인증 실패로 보안 설정 점검
2024-01-24 09:28:15 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-24 04:28:15 - 조치 완료",자동복구
2024-01-24 12:36:04,5G,Ciena,IVC,Device-04,134.136.89.136 8660: LC/3/3/CPU3: Jan 24 12:36:04.000 optics_driver: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-5 :DECLARE :CPU2: Optics6/4/5,스위칭부,IOM,HW,Network congestion,Ring Open,"2024-01-24 20:36:04 - 조치: 온도 경고로 팬 모듈 교체
2024-01-25 04:36:04 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-25 12:36:04 - 조치: Link down 발생, 교체 작업 수행
2024-01-24 21:36:04 - 조치 완료",원격조치복구
2024-01-25 01:43:53,5G,Ciena,Clock,Device-18,Device-18 1/3/4 CRC Error,일체형,CSM,SW,Packet loss,없음,"2024-01-25 02:43:53 - 조치: Link down 발생, 교체 작업 수행
2024-01-25 10:43:53 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-26 03:43:53 - 조치 완료",양호
2024-01-25 14:51:42,LTE,Cisco,IBC,Device-18,Device-18: Jan 25 14:51:42.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 4/0. Reason: EPC heartbeat failure,스위칭부,FAN,SW,Power supply fault,Ring Open,"2024-01-25 19:51:42 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-25 20:51:42 - 조치: 온도 경고로 팬 모듈 교체
2024-01-26 15:51:42 - 조치 완료",유니트교체복구
2024-01-26 03:59:31,LTE,Nokia,ROTN,Device-20,35.245.88.187 1066: LC/0/0/CPU0: Jan 26 03:59:31.000 optics_driver: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS TX FAULT LANE-1 :DECLARE :CPU2: Optics4/7/5,I/O,SC,SW,Authentication failure,있음,"2024-01-26 08:59:31 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-26 18:59:31 - 조치: 인증 실패로 보안 설정 점검
2024-01-26 13:59:31 - 조치 완료",원격조치복구
2024-01-26 17:07:20,5G,Ciena,Clock,Device-08,Device-08: Jan 26 17:07:20.000 emon_proxy: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 1/4. Reason: EPC heartbeat failure,스위칭부,LC,HW,Link Down,없음,"2024-01-26 20:07:20 - 조치: CRC 발생으로 모니터링 강화
2024-01-27 07:07:20 - 조치: CRC 발생으로 모니터링 강화
2024-01-27 04:07:20 - 조치 완료",자동복구
2024-01-27 06:15:09,LTE,Cisco,IBR,Device-02,Device-02 4/5/8 CRC Error,광모듈,CSM,SW,CRC,없음,"2024-01-27 15:15:09 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-27 20:15:09 - 조치: Link down 발생, 교체 작업 수행
2024-01-27 22:15:09 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-27 17:15:09 - 조치 완료",유니트교체복구
2024-01-27 19:22:57,5G,Cisco,L3SW,Device-03,"Device-03: Jan 27 19:22:57.000 optics_driver: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event HW_EVENT_POWERED_ON, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 1/0",I/O,SFP,SW,Link Down,없음,"2024-01-28 00:22:57 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-28 03:22:57 - 조치: CRC 발생으로 모니터링 강화
2024-01-28 07:22:57 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-28 05:22:57 - 조치 완료",양호
2024-01-28 08:30:46,LTE,Huawei,L3SW,Device-12,"Device-12: Jan 28 08:30:46.000 emon_proxy: %INFRA- SHELF_MGR-6-SW_EVENT : Rcvd SW event SW_EVENT_LOG_REBOOT_REC, event_reason_str 'Warm reset to recover from CPU machine check error condition' for card 2/1",일체형,Power,HW,Temperature alarm,있음,"2024-01-28 19:30:46 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-28 21:30:46 - 조치: 패킷 손실 발생, 라우팅 경로 수정
2024-01-29 05:30:46 - 조치 완료",유니트교체복구
2024-01-28 21:38:35,5G,Huawei,IBRR,Device-15,Device-15 8/3/1 CRC Error,공통부,LC,HW,Link Down,있음,"2024-01-29 00:38:35 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-29 05:38:35 - 조치: 모듈 고장으로 원격 리셋 수행
2024-01-30 01:38:35 - 조치 완료",양호
2024-01-29 10:46:24,5G,Huawei,Clock,Device-04,NodeDown,광모듈,Power,HW,Packet loss,Ring Open,"2024-01-29 21:46:24 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-29 22:46:24 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-29 14:46:24 - 조치 완료",양호
2024-01-29 23:54:13,LTE,Huawei,Clock,Device-14,Device-14: Jan 29 23:54:13.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 1/5. Reason: EOBC heartbeat failure,I/O,SFP,HW,Module failure,Ring Open,"2024-01-30 07:54:13 - 조치: Heartbeat 실패로 재부팅 실시
2024-01-30 18:54:13 - 조치: 온도 경고로 팬 모듈 교체
2024-01-30 23:54:13 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-01-30 14:54:13 - 조치 완료",자동복구
2024-01-30 13:02:02,LTE,Cisco,IBR,Device-21,Device-21: Jan 30 13:02:02.000 card_mgr: %INFRA- SHELF_MGR-3-FAULT_ACTION_CARD_RELOAD : Graceful reload requested for card 0/6. Reason: EPC heartbeat failure,I/O,SC,SW,Link Down,있음,"2024-01-30 17:02:02 - 조치: 인증 실패로 보안 설정 점검
2024-01-30 22:02:02 - 조치: 네트워크 혼잡으로 트래픽 분산 조치
2024-01-31 06:02:02 - 조치 완료",원격조치복구
2024-01-31 02:09:51,LTE,Nokia,L3SW,Device-05,NodeDown,공통부,SC,HW,Link Down,있음,"2024-01-31 12:09:51 - 조치: 온도 경고로 팬 모듈 교체
2024-01-31 13:09:51 - 조치: Power supply 이상으로 전원 모듈 교체
2024-01-31 18:09:51 - 조치 완료",원격조치복구
2024-01-31 15:17:40,LTE,Ciena,L3SW,Device-10,NodeDown,I/O,CSM,HW,Heartbeat failure,Ring Open,"2024-01-31 18:17:40 - 조치: 온도 경고로 팬 모듈 교체
2024-02-01 00:17:40 - 조치: 시스템 재부팅 후 정상 작동 확인
2024-02-01 02:17:40 - 조치 완료",유니트교체복구
